itemid,订单ID,
mid,模块ID,
mallid,商品ID,
pid,上级订单ID,
cid,优惠券ID,
buyer,买家,
seller,卖家,
title,商品名称,
thumb,标题图,
price,商品价格,
number,购买数量,
amount,订单总额,
discount,优惠金额,
fee,附加费用,
fee_name,费用名称,
buyer_name,买家姓名,
buyer_address,买家地址,
buyer_postcode,买家邮编,
buyer_mobile,买家手机,
buyer_star,卖家对买家的评分,1差评2中评3好评
seller_star,买家对卖家的评分,1差评2中评3好评
send_type,发货方式,
send_no,物流单号,
send_status,物流状态,
send_time,发货时间,
send_days,发货天数限制,
cod,活动付款,
trade_no,支付宝交易编号,
add_time,延长收货时间(小时),
addtime,添加时间,
updatetime,更新时间,
editor,编辑,
buyer_reason,买家退款理由,
refund_reason,处理依据,
note,备注,
status,状态,
